cust_id,similar_cust_id,similarity_score,avg_feature_difference
C0001,C0135,0.9989,81.012
C0001,C0092,0.9985,120.8995
C0001,C0085,0.9957,277.7687
C0002,C0029,0.9999,25.9908
C0002,C0077,0.9959,355.5644
C0002,C0157,0.9953,8.6813
C0003,C0111,0.9987,275.7092
C0003,C0190,0.9958,94.1022
C0003,C0038,0.9894,11.5135
C0004,C0165,0.9982,465.195
C0004,C0162,0.9979,190.3175
C0004,C0075,0.9968,173.4113
C0005,C0167,1.0,90.3133
C0005,C0020,0.9997,377.2322
C0005,C0128,0.9987,426.7922
C0006,C0168,0.998,298.9592
C0006,C0196,0.9954,280.0892
C0006,C0187,0.9944,148.6097
C0007,C0125,0.9999,143.5942
C0007,C0089,0.9983,10.3517
C0007,C0085,0.9959,6.6467
C0008,C0084,0.9961,59.3289
C0008,C0113,0.996,184.2929
C0008,C0017,0.9933,162.8617
C0009,C0130,1.0,99.3289
C0009,C0128,0.9987,43.8022
C0009,C0192,0.9985,397.9878
C0010,C0176,0.9995,218.2589
C0010,C0055,0.9941,405.2347
C0010,C0174,0.9931,417.3827
C0011,C0023,0.9986,510.5196
C0011,C0139,0.9871,12.0723
C0011,C0100,0.9853,445.1129
C0012,C0101,1.0,106.9583
C0012,C0093,0.9996,21.9327
C0012,C0065,0.9996,815.1471
C0013,C0021,0.9997,197.9513
C0013,C0059,0.9977,370.1312
C0013,C0141,0.9975,1582.4087
C0014,C0097,0.9987,67.97
C0014,C0043,0.997,281.9611
C0014,C0032,0.9961,126.5033
C0015,C0058,0.999,268.23
C0015,C0186,0.9949,214.7867
C0015,C0191,0.9936,640.032
C0016,C0040,0.9997,33.6567
C0016,C0107,0.998,112.984
C0016,C0066,0.9979,29.9856
C0017,C0113,0.9997,21.4313
C0017,C0084,0.995,105.6139
C0017,C0008,0.9933,162.8617
C0018,C0041,0.9952,457.6617
C0018,C0068,0.9941,391.6686
C0018,C0004,0.9899,197.2439
C0019,C0166,0.9971,75.4981
C0019,C0031,0.9938,62.4878
C0019,C0088,0.9875,20.2318
C0020,C0005,0.9997,377.2322
C0020,C0128,0.9996,49.92
C0020,C0167,0.9996,467.5456
